"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-06-12,5118.38427734375,5182.453065238178,5004.484209975878,5125.503031554243,49515000
2000-06-13,5025.84033203125,5054.315348076753,4890.584005815112,5025.84033203125,42495000
2000-06-14,5438.72900390625,5438.72900390625,5047.197465666925,5146.860039036936,63020000
2000-06-15,4983.12841796875,5381.77869140625,4983.12841796875,5381.77869140625,61225000
2000-06-16,4798.04052734375,4954.653126159125,4776.684263868927,4911.940599209477,66455000
2000-06-19,4769.56494140625,4947.5337825034985,4662.783636747901,4698.377404967351,53560000
2000-06-20,5082.79052734375,5111.265544303659,4862.1091459044555,4940.415442544205,59790000
2000-06-21,5040.07763671875,5253.6402484441205,5032.9588829945715,5196.690218650689,37585000
2000-06-22,5011.60400390625,5175.335384715687,4954.653958407315,5153.979117653586,33635000
2000-06-23,4983.12841796875,4990.247172851563,4883.465849609375,4968.890908203125,29215000
2000-06-26,5132.62255859375,5239.403887829404,4976.009942381458,5054.3162504876045,39980000
2000-06-27,5203.8095703125,5296.353379360466,5118.384515806686,5210.928324854652,45535000
2000-06-28,5353.30322265625,5367.5407312271445,5139.740594092836,5139.740594092836,47295000
2000-06-29,5331.94775390625,5509.916637547981,5253.641445103888,5410.254062708611,61120000
2000-06-30,5253.640625,5367.540692750677,5189.5718368902435,5296.353150406504,35250000
2000-07-03,5339.06640625,5374.660182291667,5282.116364583334,5296.353875000001,25975000
2000-07-04,5232.2841796875,5424.490537308674,5232.2841796875,5410.253029336735,32810000
2000-07-05,5289.23388671875,5353.30266865747,5232.283858328778,5260.758872523764,24895000
2000-07-06,5196.69091796875,5232.284691379495,5111.265861782962,5153.978389875856,60340000
2000-07-07,5239.4033203125,5310.590865425442,5146.859511665676,5225.165811289911,40580000
2000-07-10,5410.25439453125,5431.610661878083,5274.998034667969,5296.354302014803,42505000
2000-07-11,5303.4716796875,5509.9155437290265,5303.4716796875,5396.015480809564,34945000
2000-07-12,5438.72900390625,5452.96651438768,5310.591409573381,5353.30394101767,40140000
2000-07-13,5524.15380859375,5609.57886748953,5388.897465342099,5481.441279145861,48805000
2000-07-14,5374.66015625,5581.10405629139,5367.541401076159,5538.391525248344,30425000
2000-07-17,5374.66015625,5374.66015625,5374.66015625,5374.66015625,0
2000-07-18,5310.5927734375,5424.492886540717,5296.355259299598,5374.66158705806,19605000
2000-07-19,5310.5927734375,5424.492886540717,5296.355259299598,5374.66158705806,19605000
2000-07-20,4911.93994140625,5061.433765709919,4869.22742017663,5025.839998018569,40315000
2000-07-21,4926.17822265625,5018.7220331974795,4812.278148143966,4954.653241284321,48395000
2000-07-24,4541.76513671875,4798.040285499119,4527.527628453175,4726.852744171239,49015000
2000-07-25,4470.57861328125,4556.003682324841,4356.678521223129,4491.934880542148,56735000
2000-07-26,4662.78271484375,4684.1389715529585,4527.5264223521,4556.00143129771,54745000
2000-07-27,4434.9833984375,4527.527193268459,4342.439603606541,4427.864644988965,43540000
2000-07-28,4079.047607421875,4207.185228597431,4064.810093957924,4128.878904545702,83035000
2000-07-31,4200.064453125,4207.183206435381,3950.908087261653,4079.045646848517,46615000
2000-08-01,4427.86474609375,4463.458514149166,4178.708369705838,4242.777152205587,53120000
2000-08-02,4321.0830078125,4392.27053677152,4221.4204672698725,4342.439266500206,37190000
2000-08-03,4292.6083984375,4399.389701881219,4249.895877060012,4399.389701881219,27815000
2000-08-04,4214.302734375,4278.37152594489,4164.471452042863,4221.421488993877,23605000
2000-08-07,3972.265380859375,4107.521728953153,3972.265380859375,4086.165463464662,28765000
2000-08-08,3972.265380859375,4093.2842186274925,3965.1466256965446,4029.2154221620185,33475000
2000-08-09,4271.25244140625,4299.727457682292,4043.4523111979165,4043.4523111979165,39570000
2000-08-10,4385.15234375,4385.15234375,4171.589729606331,4271.252282873376,40830000
2000-08-11,4242.77685546875,4321.083139713978,4185.826830563129,4271.25186792156,33840000
2000-08-14,4285.490234375,4385.152797965116,4271.252725290698,4313.965252543605,23730000
2000-08-15,4285.490234375,4285.490234375,4285.490234375,4285.490234375,0
2000-08-16,4570.2392578125,4648.545537930782,4506.170483170269,4627.189279716706,51915000
2000-08-17,4584.4755859375,4669.90059685559,4513.288076839091,4612.950589576863,36345000
2000-08-18,4413.62646484375,4641.426540448589,4413.62646484375,4627.189035723286,21370000
2000-08-21,4463.46044921875,4513.29174609998,4406.510395640201,4413.629152337519,20950000
2000-08-22,4598.71484375,4605.833597378096,4442.102263931888,4456.339771188081,27710000
2000-08-23,4406.5068359375,4591.594360548768,4385.1505830977385,4591.594360548768,27905000
2000-08-24,4427.86474609375,4484.814774982416,4342.439702760752,4456.339760538083,31700000
2000-08-25,4556.0029296875,4556.0029296875,4349.559046936035,4399.390328979493,21960000
2000-08-28,4506.1728515625,4541.766633960307,4456.341556205569,4513.291608042061,17630000
2000-08-29,4427.86474609375,4541.764803871081,4385.152224427251,4499.052282204582,16765000
2000-08-30,4292.6083984375,4406.508455444134,4285.489644874586,4370.914687629561,23735000
2000-08-31,3893.958984375,4200.065449325868,3829.8901893852835,4200.065449325868,114120000
2000-09-01,3943.790283203125,3986.502813346119,3858.365222917137,3943.7902832031255,49955000
2000-09-04,3801.41455078125,3950.9083814299506,3780.058289260007,3872.602089185393,28625000
2000-09-05,3666.157958984375,3801.414272034284,3580.73291916338,3744.464245486954,79765000
2000-09-06,3666.157958984375,3758.7017521237863,3623.4454390738774,3701.7517255764565,53120000
2000-09-07,3409.8828125,3545.139124478079,3388.5265527139873,3516.6641114300623,83905000
2000-09-08,3473.9521484375,3509.5459204501794,3409.883358814677,3488.1896572425717,57170000
2000-09-11,3473.9521484375,3473.9521484375,3473.9521484375,3473.9521484375,0
2000-09-12,3473.9521484375,3473.9521484375,3473.9521484375,3473.9521484375,0
2000-09-13,3473.9521484375,3473.9521484375,3473.9521484375,3473.9521484375,0
2000-09-14,3352.93359375,3352.93359375,3160.7272093949045,3274.627289012739,106130000
2000-09-15,3096.657958984375,3288.864315059267,3061.0641893408765,3203.4392679148705,82695000
2000-09-18,2826.144287109375,2932.9255574031804,2633.938000580526,2854.6192925210567,146305000
2000-09-19,2961.40185546875,3110.8956991342397,2776.314239501953,2840.383029644306,100525000
2000-09-20,3274.6259765625,3317.3384893002717,3174.9634468410327,3274.6259765625,103410000
2000-09-21,3132.25146484375,3317.3390514026987,3075.301438210227,3267.507778098366,65445000
2000-09-22,2705.127197265625,2883.0960918225737,2690.889685701069,2733.602220394737,103265000
2000-09-25,2911.5703125,2925.807820140587,2733.601466992665,2762.076482273839,65985000
2000-09-26,2847.501708984375,2875.9767260742187,2776.3141662597654,2776.3141662597654,58430000
2000-09-27,2868.857666015625,2918.68894061143,2819.02639141982,2847.5014054745657,69795000
2000-09-28,2890.21435546875,2982.758164880311,2868.85809175839,2918.68937374923,52470000
2000-09-29,2875.976318359375,2932.9263444655016,2804.7887857267174,2932.9263444655016,57535000
2000-10-02,2712.245361328125,2762.0766409325784,2676.6515901820862,2733.601624015748,41120000
2000-10-03,2712.245361328125,2712.245361328125,2712.245361328125,2712.245361328125,0
2000-10-04,2769.195556640625,2811.9080845065473,2555.632917311014,2633.939218398538,82635000
2000-10-05,2804.7890625,2904.4516180203045,2804.7890625,2861.7390942258885,62745000
2000-10-06,2776.313720703125,2776.313720703125,2676.651176883013,2705.126189403045,54935000
2000-10-09,2626.8203125,2733.60162601626,2619.7015582655827,2719.3641175474254,63195000
2000-10-10,2605.464111328125,2712.245427366163,2555.632830510374,2633.9391289382684,62145000
2000-10-11,2292.23779296875,2463.08781480493,2285.119042058909,2455.969063895089,103605000
2000-10-12,2235.289306640625,2334.951887191481,2235.289306640625,2235.289306640625,79535000
2000-10-13,2156.9833984375,2199.695940980817,2014.6082566264438,2135.6271271658416,115295000
2000-10-16,2156.9833984375,2156.9833984375,2156.9833984375,2156.9833984375,0
2000-10-17,1950.5382080078125,2192.5757958627964,1943.4194554238422,2121.388270023095,65300000
2000-10-18,1943.4195556640625,1964.7758145175137,1722.7382141783999,1808.1632495922047,164215000
2000-10-19,2064.43798828125,2171.2192635371766,1914.9442029229526,1943.4192096578663,137720000
2000-10-20,2370.544921875,2370.544921875,2270.882372606982,2306.476140202703,118825000
2000-10-23,2278.00146484375,2505.801611328125,2249.5264465332034,2484.445347595215,139960000
2000-10-24,2377.66357421875,2434.6135999485405,2206.8134970293786,2263.763522759169,97115000
2000-10-25,2285.11962890625,2320.7133925963785,2228.1696070020444,2278.0008761682243,68730000
2000-10-26,2057.3203125,2156.9828881920416,1950.538981401384,2085.7953341262973,133290000
2000-10-27,2057.3203125,2057.3203125,2057.3203125,2057.3203125,0
2000-10-30,1957.6572265625,2050.2010227272726,1936.3009659090908,1993.2509943181817,36830000
2000-10-31,2028.8443603515625,2028.8443603515625,1872.2318132367052,1957.6568389357183,63190000
2000-11-01,2320.714599609375,2327.8333560498945,2107.151906393788,2135.6269321558666,94165000
2000-11-02,2363.426513671875,2441.732813823654,2256.6451952830857,2278.0014589608436,123180000
2000-11-03,2448.852294921875,2470.2085649357286,2399.0209982228835,2434.614781579306,80420000
2000-11-06,2498.682861328125,2612.5829347789795,2406.1390516493057,2463.089088374733,71865000
2000-11-07,2448.852294921875,2527.158618306005,2406.139754894168,2463.089808264444,53740000
2000-11-08,2427.49609375,2463.0898781158357,2334.952254398827,2420.377336876833,58215000
2000-11-09,2420.37646484375,2441.732727768842,2320.7139045266545,2349.18892176011,52305000
2000-11-10,2406.138671875,2448.851192677515,2363.426151072485,2391.9011649408285,35140000
2000-11-13,2242.407958984375,2320.714268663194,2206.8141818576387,2292.2392469618053,51070000
2000-11-14,2342.06982421875,2363.426084014058,2285.119798097929,2285.119798097929,31755000
2000-11-15,2413.2578125,2463.089094764012,2363.426530235988,2455.9703401548672,55720000
2000-11-16,2334.951171875,2434.613721894055,2313.594911156631,2420.376214748476,37420000
2000-11-17,2292.23779296875,2299.356543878591,2242.406536599864,2263.7627893293866,36225000
2000-11-20,2206.813232421875,2285.119508411038,2206.813232421875,2249.525746597782,26795000
2000-11-21,2249.526123046875,2256.6448766008207,2114.269805521905,2192.5760946153086,51620000
2000-11-22,2235.289306640625,2292.2393526696856,2192.57677211883,2206.814283626095,37710000
2000-11-23,2285.11962890625,2320.7133925963785,2235.28835974007,2235.28835974007,44645000
2000-11-24,2420.37646484375,2420.37646484375,2327.8326588350183,2356.3076760684744,45530000
2000-11-27,2690.888671875,2705.1261780753966,2541.3948567708335,2562.7511160714284,100220000
2000-11-28,2505.802001953125,2598.3458258888936,2491.564490578391,2598.3458258888936,59770000
2000-11-29,2292.23779296875,2384.781554796681,2278.0002911490683,2349.187800247477,54300000
2000-11-30,2306.475830078125,2342.0695928879727,2242.4070570203994,2292.238324954186,63315000
2000-12-01,2263.763427734375,2292.2384394039896,2164.1008868907234,2192.575898560338,96425000
2000-12-04,2206.813232421875,2313.594517861643,2192.5757276965724,2292.2382607736895,51875000
2000-12-05,2306.475830078125,2313.5945826400944,2221.050799334491,2249.5258095823688,58400000
2000-12-06,2285.11962890625,2441.7321891428155,2285.11962890625,2427.494683666764,95890000
2000-12-07,2320.714599609375,2320.714599609375,2249.5270352041794,2285.120817406777,43020000
2000-12-08,2399.020263671875,2413.2577726550912,2320.713964264188,2320.713964264188,47575000
2000-12-11,2548.513671875,2584.1074382419692,2477.3261391410615,2477.3261391410615,70575000
2000-12-12,2491.564208984375,2598.3455322265627,2491.564208984375,2548.5142480468753,73745000
2000-12-13,2690.888671875,2690.888671875,2491.5635850694443,2491.5635850694443,84140000
2000-12-14,2576.988525390625,2619.7010423860497,2534.2760083952003,2576.988525390625,66965000
